id,year,stats_type,SOG,PPP,SHG,HIT,STP,FOL,SHA,GWG,P_M,GP,PPG,SHP,G,ATOI,PTS,STPA,PPA,PIM,TTOI,BLK,A,STPG,FOW,_25,HAT,MIN,FP,FP_AVG
5219,2027,projected,132.0,9.0,,186.0,9.0,,,,-25.0,84.0,3.0,,22.0,996.76,48.0,6.0,6.0,69.0,83728.01,47.0,26.0,3.0,,,,,233.6,2.78
5219,2027,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5251,2023,projected,247.0,16.0,2.0,174.0,20.0,22.0,2.0,3.0,21.0,76.0,8.0,4.0,37.0,1170.0,71.0,10.0,8.0,135.0,88920.0,25.0,34.0,10.0,12.0,53.0,2.0,,365.15,4.8
5251,2023,actual,146.0,2.0,1.0,124.0,4.0,22.0,1.0,3.0,-4.0,41.0,0.0,2.0,16.0,1122.2,28.0,3.0,2.0,53.0,46010.0,15.0,12.0,1.0,12.0,869.0,2.0,,167.9,4.1
5251,2024,projected,190.0,5.0,1.0,154.0,7.0,38.0,1.0,3.0,11.0,58.0,3.0,2.0,21.0,1128.0,38.0,3.0,2.0,77.0,65424.0,19.0,17.0,4.0,35.0,1458.0,2.0,,223.9,3.86
5251,2024,actual,220.0,7.0,1.0,236.0,8.0,38.0,0.0,3.0,-4.0,77.0,2.0,1.0,24.0,1006.61,44.0,5.0,5.0,85.0,77509.0,29.0,20.0,3.0,35.0,1458.0,2.0,,263.1,3.42
5251,2025,projected,218.0,9.0,1.0,261.0,11.0,,1.0,,-6.0,71.0,3.0,2.0,26.0,1020.0,44.0,7.0,6.0,90.0,72420.0,31.0,18.0,4.0,,,,,264.1,3.72
5251,2025,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5251,2026,projected,210.0,11.0,1.0,218.0,13.0,,1.0,,-6.0,73.0,4.0,2.0,23.0,1014.0,46.0,8.0,7.0,92.0,74022.0,25.0,23.0,5.0,,,,,258.3,3.54
5251,2026,actual,171.0,6.0,0.0,111.0,6.0,35.0,0.0,1.0,-20.0,71.0,2.0,0.0,13.0,984.92,31.0,4.0,4.0,92.0,69929.0,28.0,18.0,2.0,21.0,1397.0,,,193.85,2.73
5251,2027,projected,185.0,6.0,,134.0,6.0,,,,-18.0,76.0,2.0,,15.0,1024.0,35.0,4.0,4.0,94.0,77824.0,31.0,20.0,2.0,,,,,211.15,2.78
5251,2027,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5262,2023,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5262,2023,actual,111.0,0.0,0.0,188.0,2.0,438.0,2.0,0.0,-1.0,81.0,0.0,2.0,6.0,872.11,21.0,2.0,0.0,54.0,70641.0,58.0,15.0,0.0,501.0,1773.0,,,152.55,1.88
5262,2024,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5262,2024,actual,82.0,1.0,1.0,120.0,2.0,301.0,0.0,1.0,-2.0,70.0,0.0,1.0,10.0,836.46,23.0,1.0,1.0,22.0,58552.0,71.0,13.0,1.0,345.0,1433.0,,,138.5,1.98
5262,2025,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5262,2025,actual,97.0,1.0,1.0,201.0,2.0,274.0,0.0,1.0,-13.0,82.0,0.0,1.0,7.0,782.44,17.0,1.0,1.0,51.0,64160.0,66.0,10.0,1.0,337.0,1497.0,,,147.35,1.8
5262,2026,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5262,2026,actual,80.0,0.0,1.0,153.0,2.0,291.0,1.0,0.0,-3.0,81.0,0.0,2.0,10.0,706.07,18.0,1.0,0.0,20.0,57192.0,57.0,8.0,1.0,351.0,1355.0,,,122.8,1.52
5262,2027,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5262,2027,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5337,2023,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5337,2023,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5337,2024,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5337,2024,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5337,2025,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5337,2025,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5337,2026,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5337,2026,actual,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,520.67,0.0,0.0,0.0,5.0,1562.0,0.0,0.0,0.0,0.0,39.0,,,3.85,1.28
5337,2027,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5337,2027,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5349,2023,projected,220.0,16.0,0.0,64.0,16.0,648.0,0.0,4.0,6.0,77.0,5.0,0.0,25.0,1080.0,57.0,11.0,11.0,47.0,83160.0,22.0,32.0,5.0,586.0,158.0,,,249.4,3.24
5349,2023,actual,267.0,19.0,0.0,99.0,19.0,648.0,0.0,4.0,-18.0,82.0,11.0,0.0,24.0,1032.52,56.0,8.0,8.0,56.0,84667.0,31.0,32.0,11.0,586.0,1791.0,,,275.15,3.36
